trade_date,code,name,day_chg_pct,day_amount_yi,market_cap_yi,next_trade_date,next_day_chg_pct
2026-03-10,300782,卓胜微,5.1852,18.7233,435.3368,2026-03-11,-1.2324
2026-03-10,002169,智光电气,5.2016,8.2532,111.0657,2026-03-11,-1.6069
2026-03-10,300657,弘信电子,5.2096,21.2882,140.0575,2026-03-11,-1.4064
2026-03-10,600475,华光环能,5.2680,9.6916,167.5808,2026-03-11,-4.8303
2026-03-10,002422,科伦药业,5.4545,8.2090,555.1637,2026-03-11,-1.1593
2026-03-10,300990,同飞股份,5.5375,4.7476,134.2117,2026-03-11,3.3620
2026-03-10,688097,博众精工,5.6256,645.5123,234.5347,2026-03-11,6.1288
2026-03-10,603626,科森科技,5.8172,8.2171,124.3485,2026-03-11,-3.3595
2026-03-10,300395,菲利华,5.9263,40.5650,478.3972,2026-03-11,-0.5022
2026-03-10,002796,世嘉科技,5.9532,15.6941,114.8270,2026-03-11,4.6244
2026-03-10,688279,峰岹科技,5.9747,193.7246,176.0094,2026-03-11,0.2278
2026-03-10,688428,诺诚健华,6.0107,231.1454,477.5127,2026-03-11,-1.7220
2026-03-10,002815,崇达技术,6.0852,8.8436,168.4617,2026-03-11,0.7648
2026-03-10,301031,中熔电气,6.1765,5.2589,135.5375,2026-03-11,0.9893
2026-03-10,002475,立讯精密,6.2151,89.5981,3593.4476,2026-03-11,1.5793
2026-03-10,300118,东方日升,6.3325,23.3222,184.6822,2026-03-11,-0.4467
2026-03-10,301196,唯科科技,6.4838,4.2165,125.3137,2026-03-11,2.2646
2026-03-10,300757,罗博特科,6.5429,33.3150,633.5587,2026-03-11,-2.0069
2026-03-10,300322,硕贝德,6.5513,14.6592,109.3511,2026-03-11,1.7271
2026-03-10,688503,聚和材料,6.5804,1182.0688,202.6548,2026-03-11,-2.1929
2026-03-10,601868,中国能建,6.8027,101.4727,1217.3820,2026-03-11,9.8726
2026-03-10,002931,锋龙股份,7.1054,17.0750,147.8411,2026-03-11,-6.8130
2026-03-10,002851,麦格米特,7.1091,23.4352,560.5034,2026-03-11,-2.7152
2026-03-10,301392,汇成真空,7.1670,9.2738,106.8700,2026-03-11,-0.3386
2026-03-10,300236,上海新阳,7.2015,8.1409,232.0589,2026-03-11,1.9540
2026-03-10,688266,泽璟制药,7.2366,344.4441,263.3052,2026-03-11,-2.8904
2026-03-10,688141,杰华特,7.2837,658.6266,232.9964,2026-03-11,-0.2184
2026-03-10,601231,环旭电子,7.3533,26.1009,789.8381,2026-03-11,-2.3804
2026-03-10,300900,广联航空,7.3689,26.6380,125.8774,2026-03-11,-3.4086
2026-03-10,002706,良信股份,7.4169,16.4174,114.3341,2026-03-11,2.3016
2026-03-10,688818,电科蓝天,7.5395,2768.1033,1076.8928,2026-03-11,0.0000
2026-03-10,300570,太辰光,7.6834,28.6626,241.8901,2026-03-11,-0.1999
2026-03-10,002897,意华股份,7.7993,18.4279,112.8773,2026-03-11,-4.8278
2026-03-10,300620,光库科技,7.9087,29.7622,438.6325,2026-03-11,-0.8464
2026-03-10,603083,剑桥科技,7.9357,50.2746,357.5522,2026-03-11,5.1291
2026-03-10,301128,强瑞技术,8.4570,8.5344,156.6721,2026-03-11,-0.1261
2026-03-10,688195,腾景科技,9.0387,2245.5973,343.4113,2026-03-11,-3.6140
2026-03-10,600376,首开股份,9.9404,7.4971,130.5260,2026-03-11,1.0850
2026-03-10,002993,奥海科技,9.9934,4.3007,127.8893,2026-03-11,0.8986
2026-03-10,002384,东山精密,9.9959,98.6947,1850.4731,2026-03-11,-3.0168
2026-03-10,002281,光迅科技,9.9962,47.7408,676.8816,2026-03-11,6.1862
2026-03-10,601869,长飞光纤,9.9995,39.7536,2483.7153,2026-03-11,7.2544
2026-03-10,601778,晶科科技,10.0000,29.5633,177.4787,2026-03-11,5.1693
2026-03-10,000949,新乡化纤,10.0000,8.0841,107.2014,2026-03-11,1.3175
2026-03-10,600330,天通股份,10.0319,22.6298,190.6890,2026-03-11,6.0976
2026-03-10,600172,黄河旋风,10.0437,21.2085,113.4999,2026-03-11,10.0198
2026-03-10,300953,震裕科技,10.2571,15.8132,305.5463,2026-03-11,3.8995
2026-03-10,300328,宜安科技,10.2990,21.5252,115.7840,2026-03-11,0.0502
2026-03-10,300969,恒帅股份,10.4173,5.0331,138.9392,2026-03-11,-1.0340
